code_naf;libelle_code_naf
11;Fabrication de boissons
21;Industrie pharmaceutique
24;Métallurgie
26;Fabrication de produits informatiques, électroniques et optiques
30;Fabrication d'autres matériels de transport
36;Captage, traitement et distribution d'eau
37;Collecte et traitement des eaux usées
38;"Collecte, traitement et élimination des déchets ; récupération"
42;Génie civil
46;Commerce de gros, à l'exception des automobiles et des motocycles
58;Édition
63;Services d'information
66;Activités auxiliaires de services financiers et d'assurance
69;Activités juridiques et comptables
71;"Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques"
73;Publicité et études de marché
78;Activités liées à l'emploi
85;Enseignement
87;Hébergement médico-social et social
93;Activités sportives, récréatives et de loisirs
98;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre
01;Culture et production animale, chasse et services annexes
15;Industrie du cuir et de la chaussure
17;Industrie du papier et du carton
23;Fabrication d'autres produits minéraux non métalliques
29;Industrie automobile
41;Construction de bâtiments
45;Commerce et réparation d'automobiles et de motocycles
51;Transports aériens
52;Entreposage et services auxiliaires des transports
65;Assurance
70;"Activités des sièges sociaux ; conseil de gestion"
84;"Administration publique et défense ; sécurité sociale obligatoire"
91;Bibliothèques, archives, musées et autres activités culturelles
97;Activités des ménages en tant qu'employeurs de personnel domestique
03;Pêche et aquaculture
07;Extraction de minerais métalliques
09;Services de soutien aux industries extractives
13;Fabrication de textiles
22;Fabrication de produits en caoutchouc et en plastique
32;Autres industries manufacturières
39;Dépollution et autres services de gestion des déchets
56;Restauration
59;"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale"
64;Activités des services financiers, hors assurance et caisses de retraite
77;Activités de location et location-bail
86;Activités pour la santé humaine
88;Action sociale sans hébergement
90;Activités créatives, artistiques et de spectacle
96;Autres services personnels
05;Extraction de houille et de lignite
08;Autres industries extractives
10;Industries alimentaires
18;Imprimerie et reproduction d'enregistrements
19;Cokéfaction et raffinage
25;Fabrication de produits métalliques, à l'exception des machines et des équipements
27;Fabrication d'équipements électriques
28;Fabrication de machines et équipements n.c.a.
47;Commerce de détail, à l'exception des automobiles et des motocycles
49;Transports terrestres et transport par conduites
50;Transports par eau
55;Hébergement
60;Programmation et diffusion
61;Télécommunications
75;Activités vétérinaires
81;Services relatifs aux bâtiments et aménagement paysager
92;Organisation de jeux de hasard et d'argent
95;Réparation d'ordinateurs et de biens personnels et domestiques
02;Sylviculture et exploitation forestière
06;Extraction d'hydrocarbures
12;Fabrication de produits à base de tabac
14;Industrie de l'habillement
16;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie"
20;Industrie chimique
31;Fabrication de meubles
33;Réparation et installation de machines et d'équipements
35;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
43;Travaux de construction spécialisés
53;Activités de poste et de courrier
62;Programmation, conseil et autres activités informatiques
68;Activités immobilières
72;Recherche-développement scientifique
74;Autres activités spécialisées, scientifiques et techniques
79;Activités des agences de voyage, voyagistes, services de réservation et activités connexes
80;Enquêtes et sécurité
82;Activités administratives et autres activités de soutien aux entreprises
94;Activités des organisations associatives
99;Activités des organisations et organismes extraterritoriaux
